seed,state_idx,horizon,outcome_m1,outcome_0,outcome_p1,residual_m1,residual_p1,best_action,mode
0,450,1,"[2.642559766769409, 2.766996145248413]","[1.8231866359710693, 1.9476228952407837]","[1.00381338596344, 1.1282496452331543]","[0.8193731307983398, 0.8193732500076294]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,450,3,"[4.017450332641602, 4.004957675933838]","[1.6801881790161133, 1.6676952838897705]","[-0.6570740938186646, -0.6695669889450073]","[2.3372621536254883, 2.3372623920440674]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,450,5,"[2.087451219558716, 1.9595786333084106]","[1.5758498907089233, 1.4479771852493286]","[1.0642485618591309, 0.9363759160041809]","[0.5116013288497925, 0.511601448059082]","[-0.5116013288497925, -0.5116012692451477]",-1,1
0,2764,1,"[2.2685465812683105, 2.5373587608337402]","[3.0879199504852295, 3.356732130050659]","[3.9072930812835693, 4.176105499267578]","[-0.819373369216919, -0.819373369216919]","[0.8193731307983398, 0.819373369216919]",1,0
0,2764,3,"[0.4843476116657257, 0.6021539568901062]","[2.8216099739074707, 2.9394164085388184]","[5.158872127532959, 5.276678562164307]","[-2.3372623920440674, -2.3372623920440674]","[2.3372621536254883, 2.3372621536254883]",1,0
0,2764,5,"[2.09438157081604, 2.084104061126709]","[2.605983018875122, 2.595705509185791]","[3.117584466934204, 3.107306718826294]","[-0.511601448059082, -0.511601448059082]","[0.511601448059082, 0.5116012096405029]",1,0
0,523,1,"[-1.0431815385818481, -0.9884806871414185]","[-0.22380825877189636, -0.16910743713378906]","[0.5955650210380554, 0.6502658128738403]","[-0.8193732500076294, -0.8193732500076294]","[0.8193732500076294, 0.8193732500076294]",1,0
0,523,3,"[-2.5044870376586914, -2.579916000366211]","[-0.16722476482391357, -0.24265392124652863]","[2.1700375080108643, 2.0946083068847656]","[-2.3372621536254883, -2.3372621536254883]","[2.3372621536254883, 2.3372621536254883]",1,0
0,523,5,"[-0.6030416488647461, -0.7877140641212463]","[-0.09144030511379242, -0.2761128842830658]","[0.42016103863716125, 0.2354883998632431]","[-0.5116013288497925, -0.5116012096405029]","[0.5116013288497925, 0.5116012692451477]",1,0
0,600,1,"[1.7949446439743042, 1.8208037614822388]","[2.6143178939819336, 2.640177011489868]","[3.4336910247802734, 3.459550380706787]","[-0.8193732500076294, -0.8193732500076294]","[0.8193731307983398, 0.819373369216919]",1,0
0,600,3,"[0.05692185088992119, -0.04453688859939575]","[2.394184112548828, 2.2927253246307373]","[4.731446266174316, 4.6299872398376465]","[-2.3372621536254883, -2.3372621536254883]","[2.3372621536254883, 2.337261915206909]",1,0
0,600,5,"[1.708629846572876, 1.5004655122756958]","[2.220231294631958, 2.0120668411254883]","[2.731832504272461, 2.523667812347412]","[-0.511601448059082, -0.5116013288497925]","[0.5116012096405029, 0.5116009712219238]",1,0
0,789,1,"[0.9555373191833496, 0.7777835130691528]","[0.13616405427455902, -0.04158973693847656]","[-0.6832091808319092, -0.860962986946106]","[0.8193732500076294, 0.8193732500076294]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,789,3,"[2.4949123859405518, 2.20969295501709]","[0.15765023231506348, -0.12756919860839844]","[-2.179611921310425, -2.4648313522338867]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372621536254883]",-1,1
0,789,5,"[0.7133606672286987, 0.3393522799015045]","[0.20175938308238983, -0.1722489446401596]","[-0.30984190106391907, -0.6838501691818237]","[0.5116012692451477, 0.5116012096405029]","[-0.5116012692451477, -0.5116012096405029]",-1,1
0,2121,1,"[-0.7987300753593445, -0.8701667785644531]","[0.02064318023622036, -0.05079350620508194]","[0.8400164246559143, 0.7685797214508057]","[-0.8193732500076294, -0.8193732500076294]","[0.8193732500076294, 0.8193732500076294]",1,0
0,2121,3,"[-2.283869504928589, -2.473137855529785]","[0.053392644971609116, -0.13587559759616852]","[2.3906548023223877, 2.2013864517211914]","[-2.3372621536254883, -2.3372621536254883]","[2.3372621536254883, 2.3372621536254883]",1,0
0,2121,5,"[-0.4039343595504761, -0.6913467645645142]","[0.10766691714525223, -0.17974546551704407]","[0.6192682385444641, 0.3318556845188141]","[-0.5116012692451477, -0.5116013288497925]","[0.5116013288497925, 0.5116011500358582]",1,0
0,1347,1,"[2.172063112258911, 2.3448336124420166]","[2.99143648147583, 3.1642067432403564]","[3.81080961227417, 3.9835801124572754]","[-0.819373369216919, -0.8193731307983398]","[0.8193731307983398, 0.819373369216919]",1,0
0,1347,3,"[0.3972712755203247, 0.4284000098705292]","[2.7345337867736816, 2.76566219329834]","[5.071795463562012, 5.102924346923828]","[-2.3372626304626465, -2.3372621536254883]","[2.33726167678833, 2.3372621536254883]",1,0
0,1347,5,"[2.0157952308654785, 1.9272910356521606]","[2.5273966789245605, 2.438892364501953]","[3.0389976501464844, 2.950493574142456]","[-0.511601448059082, -0.5116013288497925]","[0.5116009712219238, 0.5116012096405029]",1,0
0,1184,1,"[0.9393730163574219, 0.9335204362869263]","[0.11999978870153427, 0.11414717882871628]","[-0.6993734836578369, -0.7052260637283325]","[0.8193732500076294, 0.8193732500076294]","[-0.8193732500076294, -0.8193732500076294]",-1,1
0,1184,3,"[2.4803242683410645, 2.350245475769043]","[0.14306199550628662, 0.012983369641005993]","[-2.194200277328491, -2.3242788314819336]","[2.3372621536254883, 2.3372621536254883]","[-2.3372621536254883, -2.3372621536254883]",-1,1
